,property_id,location_id,page_url,property_type,price,price_in_lac,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Total_Area
2,386513,764,https://www.zameen.com/Property/islamabad_g_15_house_is_available_for_sale-386513-764-1.html,House,16500000,165,G-15,Islamabad,Islamabad Capital,33.631486,72.926559,6,For Sale,5,7/17/2019,,,2178.008
3,656161,340,https://www.zameen.com/Property/islamabad_bani_gala_a_rare_minimalist_concept_in_a_quiet_location-656161-340-1.html,House,43500000,435,Bani Gala,Islamabad,Islamabad Capital,33.70757294,73.15119934,4,For Sale,4,4/5/2019,,,10890
4,841645,3226,https://www.zameen.com/Property/dha_valley_dha_homes_islamabad_dha_valley_8_marla_home_for_sale-841645-3226-1.html,House,7000000,70,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,For Sale,3,7/10/2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,2178.008
5,850762,3390,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_1_house_is_available_for_sale_in_ghauri_town_phase_1-850762-3390-1.html,House,34500000,345,Ghauri Town,Islamabad,Islamabad Capital,33.623947,73.126588,8,For Sale,8,4/5/2019,,,87120
6,937975,445,https://www.zameen.com/Property/islamabad_korang_town_1_kanal_double_storey_corner_house__for_sale-937975-445-1.html,House,27000000,270,Korang Town,Islamabad,Islamabad Capital,33.579034,73.139591,8,For Sale,8,1/4/2019,,,5445
8,1402466,376,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_dha_phase_1_sector_e_1st_avenue_one_kanal_with_basement_house_for_sale-1402466-376-1.html,House,50000000,500,DHA Defence,Islamabad,Islamabad Capital,33.540894,73.095732,7,For Sale,7,10/19/2018,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445
16,1947817,3075,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_fantastic_location_brand_new_3_bed_defence_villa_for_sale-1947817-3075-1.html,House,19000000,190,DHA Defence,Islamabad,Islamabad Capital,33.508481,73.091826,3,For Sale,3,6/20/2019,Infinity Properties,Ali,2722.51
17,2230469,9057,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_b1_dha_phase_1__sector_b1_two_kanal_house_for_sale-2230469-9057-1.html,House,80000000,800,DHA Defence,Islamabad,Islamabad Capital,33.541728,73.094103,7,For Sale,7,7/16/2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,10890
18,2234957,3116,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_block_a_house_for_sale_in_mpchs__multi_gardens_b17_islamabad-2234957-3116-1.html,House,26900000,269,B-17,Islamabad,Islamabad Capital,33.694495,72.826653,6,For Sale,6,2/4/2019,,,5445
20,2642166,3331,https://www.zameen.com/Property/g_11_g_11_2_40x80_house_is_available_for_sale-2642166-3331-1.html,House,55000000,550,G-11,Islamabad,Islamabad Capital,33.67164,72.991655,7,For Sale,6,7/17/2019,,,3811.514
21,2642249,156,https://www.zameen.com/Property/islamabad_bhara_kahu_double_storey_house_having_two_portions-2642249-156-1.html,House,4500000,45,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,3,For Sale,3,2/4/2019,,,1361.255
24,2771097,8257,https://www.zameen.com/Property/islamabad_garden_town_house_for_sale_in_garden_town_islamabad-2771097-8257-1.html,House,4500000,45,Garden Town,Islamabad,Islamabad Capital,33.636132,73.113921,4,For Sale,4,1/5/2019,,,12795.797
25,2842741,3460,https://www.zameen.com/Property/islamabad_koral_town_outstanding_4_marla_double_storey_house_for_sale_in_koral_chowk_near_to_gulberg_islamabad-2842741-3460-1.html,House,6800000,68,Koral Town,Islamabad,Islamabad Capital,33.602038,73.141966,4,For Sale,4,7/17/2019,,,1089.004
26,2873584,3491,https://www.zameen.com/Property/soan_garden_soan_garden_block_a_house_for_sale_in_soan_garden__block_a-2873584-3491-1.html,House,20000000,200,Soan Garden,Islamabad,Islamabad Capital,33.569648,73.151522,5,For Sale,6,6/29/2019,,,3267.012
28,3098002,3299,https://www.zameen.com/Property/f_6_f_6_1_brand_new_house_for_sale-3098002-3299-1.html,House,100000000,1000,F-6,Islamabad,Islamabad Capital,33.72402,73.074524,5,For Sale,5,1/5/2019,Property Syendicate,Rizwan Shafqat,48460.678
31,3285142,3307,https://www.zameen.com/Property/f_7_f_7_1_duplex_pair_house_for_sale-3285142-3307-1.html,House,220000000,2200,F-7,Islamabad,Islamabad Capital,33.716274,73.05624,10,For Sale,10,1/5/2019,Property Syendicate,Rizwan Shafqat,114345
32,3310804,3394,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_house_for_sale-3310804-3394-1.html,House,4500000,45,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,3,For Sale,2,11/6/2018,,,1361.255
33,3371338,3436,https://www.zameen.com/Property/i_16_i_16_2_8_marla_house_for_sale-3371338-3436-1.html,House,12500000,125,I-16,Islamabad,Islamabad Capital,33.594496,72.926595,5,For Sale,6,7/4/2019,,,2178.008
34,3626467,343,https://www.zameen.com/Property/islamabad_e_7_extraordinary_location_close_to_faisal_mosque_1244_sq_yd_house-3626467-343-1.html,House,230000000,2300,E-7,Islamabad,Islamabad Capital,33.727409,73.047581,4,For Sale,4,6/12/2019,Zorje Pvt Ltd,Obaid Abbasi,136125
221,3719655,8370,https://www.zameen.com/Property/islamabad_emaar_canyon_views_brand_new_luxorious_villa_for_sale-3719655-8370-1.html,House,38800000,388,Emaar Canyon Views,Islamabad,Islamabad Capital,33.518929,73.184692,4,For Sale,5,7/4/2019,,,81675
224,4015520,3337,https://www.zameen.com/Property/g_13_g_13_1_house_in_immaculate_condition_for_sale-4015520-3337-1.html,House,46500000,465,G-13,Islamabad,Islamabad Capital,33.645957,72.962472,9,For Sale,9,4/5/2019,,,29675.359
226,4227904,335,https://www.zameen.com/Property/islamabad_f_17_double_storey_house_is_available_for_sale-4227904-335-1.html,House,14000000,140,F-17,Islamabad,Islamabad Capital,33.631987,72.880297,6,For Sale,4,6/27/2019,Al Karam Property,Mian Muhammad Hafeez,1905.757
228,4358106,445,https://www.zameen.com/Property/islamabad_korang_town_brand_new_12_marla_double_unit_house_for_sale_in_korang_town_islamabad-4358106-445-1.html,House,32500000,325,Korang Town,Islamabad,Islamabad Capital,33.579034,73.139591,9,For Sale,7,6/19/2019,National Property Advisor,CH ALI,3267.012
230,4590970,11970,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_sector_a_10_marla_designer_house_for_sale_in_sector_a_bahria_enclave-4590970-11970-1.html,House,30000000,300,Bahria Town,Islamabad,Islamabad Capital,33.695973,73.215615,7,For Sale,6,6/12/2019,Kings & Queens,Kaiwan Anwar,2722.51
231,4801631,383,https://www.zameen.com/Property/islamabad_bahria_town_10_marla_out_class_constructed_house_for_sale_in_bahria_town-4801631-383-1.html,House,21000000,210,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,6,For Sale,5,2/4/2019,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51
376,4931497,3337,https://www.zameen.com/Property/g_13_g_13_1_g_13_1_4_marla_house_for_sale__street_no_79-4931497-3337-1.html,House,14000000,140,G-13,Islamabad,Islamabad Capital,33.6468948,72.95950011,5,For Sale,5,5/5/2019,Ettemad Enterprises,Balqiaz Marwat,1089.004
377,4962614,1314,https://www.zameen.com/Property/islamabad_ghauri_town_30x60_sq_ft_house_for_sale-4962614-1314-1.html,House,14500000,145,Ghauri Town,Islamabad,Islamabad Capital,33.619335,73.12531,5,For Sale,4,1/4/2019,,,1905.757
378,4965937,3330,https://www.zameen.com/Property/g_11_g_11_1_g_11_1__25x50_house_triple_storey_corner_extra_land-4965937-3330-1.html,House,19000000,190,G-11,Islamabad,Islamabad Capital,33.663818,72.99526,5,For Sale,5,6/29/2019,Awais Builders and Property Advisor,M Tariq Khan,15246.056
379,4985797,3301,https://www.zameen.com/Property/f_6_f_6_3_top_most_brand_new_house_in_f63_of_2400_square_yard-4985797-3301-1.html,House,850000000,8500,F-6,Islamabad,Islamabad Capital,33.735118,73.077486,10,For Sale,9,6/30/2019,A To Z Group,Asif,261360
381,5075456,3226,https://www.zameen.com/Property/dha_valley_dha_homes_house_for_sale-5075456-3226-1.html,House,6500000,65,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,For Sale,3,7/1/2019,TM Associates,Major Tariq Masud,2178.008
382,5075469,3075,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_dha_villa_for_sale-5075469-3075-1.html,House,18500000,185,DHA Defence,Islamabad,Islamabad Capital,33.508481,73.091826,4,For Sale,3,7/1/2019,TM Associates,Major Tariq Masud,2722.51
384,5157443,424,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_10_marla_band_new_double_storey_house_for_sale_in_pwd_housing_society_islamabad-5157443-424-1.html,House,15500000,155,PWD Housing Scheme,Islamabad,Islamabad Capital,33.570792,73.145256,5,For Sale,5,8/8/2018,,,2722.51
386,5184682,3285,https://www.zameen.com/Property/f_11_f_11_4_f_11_4_beautiful_location__1_kanal_brand_new_3_storey_house_available_for_sale_real_pics_added-5184682-3285-1.html,House,105000000,1050,F-11,Islamabad,Islamabad Capital,33.680925,72.997971,10,For Sale,7,5/5/2019,Farhan Enterprises,Junaid Qureshi,5445
391,5505069,3340,https://www.zameen.com/Property/g_13_g_13_4_house_with_basement_for_sale-5505069-3340-1.html,House,31000000,310,G-13,Islamabad,Islamabad Capital,33.649315,72.968395,10,For Sale,8,2/4/2019,,,2722.51
393,5794603,10322,https://www.zameen.com/Property/islamabad_kuri_road_pha_house_8_marla_good_location_house_for_sale-5794603-10322-1.html,House,10500000,105,Kuri Road,Islamabad,Islamabad Capital,33.678171,73.162161,4,For Sale,3,3/6/2019,Nexus Estate Services,Ch Afzal/ Ch Faisal/ Ch Adeel,2178.008
394,5835207,3331,https://www.zameen.com/Property/g_11_g_11_2_g_11_2__25x40_house_for_sale_double_storey_2_side_corner_50_feet_road-5835207-3331-1.html,House,14500000,145,G-11,Islamabad,Islamabad Capital,33.67164,72.991655,3,For Sale,4,6/19/2019,Awais Builders and Property Advisor,M Tariq Khan,11979.044
395,5930859,3282,https://www.zameen.com/Property/f_11_f_11_1_f_11_1_brand_new_500_sq_yard_6_bed_rooms_elegant_stylish_house_for_sale-5930859-3282-1.html,House,83000000,830,F-11,Islamabad,Islamabad Capital,33.679211,72.988787,6,For Sale,6,4/5/2019,Farhan Enterprises,Junaid Qureshi,5445
397,5974338,1378,https://www.zameen.com/Property/islamabad_pakistan_town_10_marla_house_for_sale-5974338-1378-1.html,House,13000000,130,Pakistan Town,Islamabad,Islamabad Capital,33.575405,73.143325,4,For Sale,4,5/5/2019,,,3267.012
400,6155378,3153,https://www.zameen.com/Property/islamabad_chatha_bakhtawar_5_marla_home_for_sale-6155378-3153-1.html,House,9000000,90,Chatha Bakhtawar,Islamabad,Islamabad Capital,33.66647,73.153934,4,For Sale,4,5/5/2019,,,1361.255
401,6211219,3333,https://www.zameen.com/Property/g_11_g_11_4_50x90_h0use_new_excellent_location_house_in_g_11_4_on_investor_price-6211219-3333-1.html,House,65000000,650,G-11,Islamabad,Islamabad Capital,33.667854,73.003843,6,For Sale,6,6/29/2019,Awais Builders and Property Advisor,M Tariq Khan,5445
404,6282072,3238,https://www.zameen.com/Property/e_11_e_11_3_e_11_3__500_sq_yard_9_bedrooms_with_extra_land_brand_new_architect_design_house_for_sale-6282072-3238-1.html,House,90000000,900,E-11,Islamabad,Islamabad Capital,33.704599,72.978702,9,For Sale,9,7/3/2019,Farhan Real Estate,Azmat Ullah Qureshi,5445
405,6282095,3277,https://www.zameen.com/Property/f_10_f_10_2_f10_500_square_yard_6_bedrooms_marble_flooring_brand_new_architect_design_beautiful_house_for_sale-6282095-3277-1.html,House,80000000,800,F-10,Islamabad,Islamabad Capital,33.691781,73.000288,6,For Sale,6,7/3/2019,Farhan Real Estate,Azmat Ullah Qureshi,5445
406,6282155,3277,https://www.zameen.com/Property/f_10_f_10_2_f_10_2_500_square_yard_6_bedrooms_marble_flooring_brand_new_architect_design_house_for_sale-6282155-3277-1.html,House,85000000,850,F-10,Islamabad,Islamabad Capital,33.691781,73.000288,6,For Sale,6,7/3/2019,Farhan Real Estate,Azmat Ullah Qureshi,5445
407,6282236,3282,https://www.zameen.com/Property/f_11_f_11_1_f_11_500_sq_yd_6_bedrooms_double_unit_brand_new_first_entry_architect_design_house_for_sale-6282236-3282-1.html,House,85000000,850,F-11,Islamabad,Islamabad Capital,33.679211,72.988787,6,For Sale,6,7/3/2019,Farhan Real Estate,Azmat Ullah Qureshi,5445
409,6284439,3307,https://www.zameen.com/Property/f_7_f_7_1_666_sq_yd_house_for_sale-6284439-3307-1.html,House,105000000,1050,F-7,Islamabad,Islamabad Capital,33.71776735,73.06136191,5,For Sale,4,7/1/2019,CAPITAL REALTY,Abubaker Anwar,70785
594,6356275,340,https://www.zameen.com/Property/islamabad_bani_gala_bani_gala_5_marla_new_house_for_sale-6356275-340-1.html,House,8500000,85,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268,5,For Sale,5,6/13/2019,Mid Citi Enterprises,Raja Adeel Abbasi,1361.255
597,6502989,3337,https://www.zameen.com/Property/g_13_g_13_1_house_for_sale-6502989-3337-1.html,House,13000000,130,G-13,Islamabad,Islamabad Capital,33.645957,72.962472,4,For Sale,3,7/17/2019,,,1361.255
599,6598944,616,https://www.zameen.com/Property/islamabad_b_17_one_kanal_house_for_sale_in_mpchs__b17_islamabad-6598944-616-1.html,House,32000000,320,B-17,Islamabad,Islamabad Capital,33.68055965,72.82719937,10,For Sale,8,9/7/2018,,,5445
600,6599094,3314,https://www.zameen.com/Property/f_8_f_8_1_prime_location_house_is_available_for_sale_on_good_location-6599094-3314-1.html,House,50000000,500,F-8,Islamabad,Islamabad Capital,33.707384,73.036723,5,For Sale,4,7/1/2019,Kharian Estate,Yasir Iqbal Butt,25319.343
602,6632551,383,https://www.zameen.com/Property/islamabad_bahria_town_excellent_10_marla_best_quality_house_for_sale-6632551-383-1.html,House,21000000,210,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,6,For Sale,5,6/20/2019,Aim Real Estate,Abdul Rehman,2722.51
603,6633630,166,https://www.zameen.com/Property/islamabad_f_8_prime_location_beautiful_house_500_sq_yd_for_sale-6633630-166-1.html,House,80000000,800,F-8,Islamabad,Islamabad Capital,33.713131,73.038383,5,For Sale,5,7/1/2019,Kharian Estate,Yasir Iqbal Butt,5445
606,6664232,383,https://www.zameen.com/Property/islamabad_bahria_town_unique_and_stylish_1_kanal_house_in_bahria_town-6664232-383-1.html,House,36500000,365,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,7,For Sale,6,3/6/2019,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445
608,6806027,383,https://www.zameen.com/Property/islamabad_bahria_town_10_marla_out_class_constructed_house_in_bahria_town-6806027-383-1.html,House,23500000,235,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,6,For Sale,5,4/5/2019,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51
609,6806059,383,https://www.zameen.com/Property/islamabad_bahria_town_stylish_1_kanal_house_for_sale_in_bahria_town-6806059-383-1.html,House,43000000,430,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,8,For Sale,6,5/5/2019,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445
610,6806137,383,https://www.zameen.com/Property/islamabad_bahria_town_designer_ten_marla_house_in_bahria_town-6806137-383-1.html,House,23000000,230,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,6,For Sale,5,5/5/2019,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51
611,6808423,3332,https://www.zameen.com/Property/g_11_g_11_3_g_113_30x60_house_on_excellent_location_investor_price-6808423-3332-1.html,House,27500000,275,G-11,Islamabad,Islamabad Capital,33.675604,73.000367,5,For Sale,5,6/29/2019,Awais Builders and Property Advisor,M Tariq Khan,2178.008
613,6861024,163,https://www.zameen.com/Property/islamabad_f_11_house_is_available_for_sale-6861024-163-1.html,House,95000000,950,F-11,Islamabad,Islamabad Capital,33.683533,72.99041,9,For Sale,9,5/5/2019,786 Real Estate,Muhammad Adnan Abbas,5445
769,6973467,383,https://www.zameen.com/Property/islamabad_bahria_town_amazing_2_kanal_spacious_house_for_sale_in_bahria_town-6973467-383-1.html,House,72500000,725,Bahria Town,Islamabad,Islamabad Capital,33.55083727,73.10628891,7,For Sale,6,6/27/2019,Aim Real Estate,Abdul Rehman,10890
771,7002797,166,https://www.zameen.com/Property/islamabad_f_8_triple_storey_house_is_available_for_sale_with_extra_land-7002797-166-1.html,House,320000000,3200,F-8,Islamabad,Islamabad Capital,33.713131,73.038383,10,For Sale,10,6/30/2019,A To Z Group,Asif,196020
773,7013873,3331,https://www.zameen.com/Property/g_11_g_11_2_g_11_2_house_40x80_on_70_feet_road_main_markaz_at_walking_distance-7013873-3331-1.html,House,41000000,410,G-11,Islamabad,Islamabad Capital,33.67164,72.991655,6,For Sale,6,6/29/2019,Awais Builders and Property Advisor,M Tariq Khan,38659.642
776,7057132,156,https://www.zameen.com/Property/islamabad_bhara_kahu_house_for_sale_at_bhara_kahu-7057132-156-1.html,House,12000000,120,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,4,For Sale,4,2/4/2019,,,2178.008
778,7126395,8496,https://www.zameen.com/Property/emaar_canyon_views_mirador_m3_village_emaar_canyon_views_m3_type_c_villa-7126395-8496-1.html,House,55000000,550,Emaar Canyon Views,Islamabad,Islamabad Capital,33.520628,73.18613,7,For Sale,7,7/17/2019,,,98010
779,7143881,163,https://www.zameen.com/Property/islamabad_f_11_1000_yards_brand_new_house_is_available_for_sale_f_11-7143881-163-1.html,House,140000000,1400,F-11,Islamabad,Islamabad Capital,33.683533,72.99041,6,For Sale,9,5/5/2019,786 Real Estate,Muhammad Adnan Abbas,10890
889,7207841,3461,https://www.zameen.com/Property/islamabad_lehtarar_road_owner_constructed_corner_house_for_sale-7207841-3461-1.html,House,4500000,45,Lehtarar Road,Islamabad,Islamabad Capital,33.63399973,73.15483545,3,For Sale,2,7/13/2019,,,1361.255
890,7229455,3331,https://www.zameen.com/Property/g_11_g_11_2_g_11_2_house_30x60_investor_price_excellent_location-7229455-3331-1.html,House,23500000,235,G-11,Islamabad,Islamabad Capital,33.67164,72.991655,4,For Sale,4,6/5/2019,Awais Builders and Property Advisor,M Tariq Khan,2178.008
905,7268459,3384,https://www.zameen.com/Property/g_9_g_9_1_beautiful_double_storey_house_for_sale_corner_men_double_rood-7268459-3384-1.html,House,37900000,379,G-9,Islamabad,Islamabad Capital,33.682675,73.030243,6,For Sale,6,7/4/2019,A N Associates,Hafeez Ullah Jamali,38659.642
907,7296371,1032,https://www.zameen.com/Property/islamabad_e_14_house_for_sale_e14_moza_johd_near_golra_railway_station-7296371-1032-1.html,House,13000000,130,E-14,Islamabad,Islamabad Capital,33.66964,72.923294,5,For Sale,6,7/3/2019,Nawaz Khan Enterprises,Shahnawaz Khan,2722.51
908,7311020,3315,https://www.zameen.com/Property/f_8_f_8_2_islamabad_f_8_2_two_kanal_old_house_for_sale-7311020-3315-1.html,House,165000000,1650,F-8,Islamabad,Islamabad Capital,33.713524,73.033712,6,For Sale,6,7/16/2019,Easy Property,Muhammad Junaid,10890
910,7351068,3277,https://www.zameen.com/Property/f_10_f_10_2_new_house_double_unit_urgent_sale-7351068-3277-1.html,House,85000000,850,F-10,Islamabad,Islamabad Capital,33.691781,73.000288,7,For Sale,6,7/1/2019,Kharian Estate,Yasir Iqbal Butt,70785
917,7533729,3498,https://www.zameen.com/Property/soan_garden_soan_garden_block_h_10_marla_house_for_sale-7533729-3498-1.html,House,9500000,95,Soan Garden,Islamabad,Islamabad Capital,33.55427,73.1556,3,For Sale,3,7/17/2019,,,2722.51
919,7545853,340,https://www.zameen.com/Property/islamabad_bani_gala_1_5_kanal_house_for_sale_on_range_road_bani_gala-7545853-340-1.html,House,48000000,480,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268,8,For Sale,8,5/4/2019,,,81675
920,7589896,3241,https://www.zameen.com/Property/e_11_e_11_4_e_11_4_10_beds_brand_new_beautiful_like_a_palace_500__sq_yd_triple_storey_3_unit_house_for_sale-7589896-3241-1.html,House,74800000,748,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,10,For Sale,10,6/26/2019,A. K Property & Builders,Munawar Ali Khan She,5445
1050,7738462,1705,https://www.zameen.com/Property/bahria_town_bahria_enclave_11_marla_home_available_for_sale-7738462-1705-1.html,House,28000000,280,Bahria Town,Islamabad,Islamabad Capital,33.692638,73.218813,6,For Sale,5,6/3/2019,KDF Enterprises,Sardar Danish Amin,2994.761
1210,7739226,8342,https://www.zameen.com/Property/i_14_i_14_3_brand_new_house_available_for_sale_cda_sector_islamabad-7739226-8342-1.html,House,8500000,85,I-14,Islamabad,Islamabad Capital,33.617443,72.969296,3,For Sale,4,3/6/2019,Progressive Services,Abrar Ali,816.753
1211,7792216,339,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_10_marla_house_for_sale_at_dha_phase_2_sector_j-7792216-339-1.html,House,22000000,220,DHA Defence,Islamabad,Islamabad Capital,33.527944,73.161392,4,For Sale,6,7/4/2019,,,2722.51
1222,7799232,1144,https://www.zameen.com/Property/islamabad_tarlai_new_house_for_sale-7799232-1144-1.html,House,4200000,42,Tarlai,Islamabad,Islamabad Capital,33.640278,73.15392,3,For Sale,5,7/4/2019,,,1089.004
1223,7800295,3340,https://www.zameen.com/Property/g_13_g_13_4_g_13_4_house_brand_new_3570_double_storey_sun_face_70_feet_road-7800295-3340-1.html,House,35000000,350,G-13,Islamabad,Islamabad Capital,33.649315,72.968395,6,For Sale,6,6/29/2019,Awais Builders and Property Advisor,M Tariq Khan,29675.359
1224,7802991,424,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_30x50_double_storey_house_for_sale-7802991-424-1.html,House,14000000,140,PWD Housing Scheme,Islamabad,Islamabad Capital,33.570792,73.145256,4,For Sale,4,7/4/2019,,,18240.817
1225,7806045,12079,https://www.zameen.com/Property/simly_dam_road_landmark_homes_house_for_sale-7806045-12079-1.html,House,4300000,43,Simly Dam Road,Islamabad,Islamabad Capital,33.728837,73.229934,3,For Sale,2,7/4/2019,,,1361.255
1226,7813926,9057,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_b1_dha_phase_1_sector_b1_st_11_newly_constructed_semi_furnished_two_units_independent_house-7813926-9057-1.html,House,36000000,360,DHA Defence,Islamabad,Islamabad Capital,33.5478508,73.09299588,7,For Sale,7,7/4/2019,,,4356.016
1227,7816510,343,https://www.zameen.com/Property/islamabad_e_7_brand_new_luxury_house_available_for_sale_in_e7-7816510-343-1.html,House,350000000,3500,E-7,Islamabad,Islamabad Capital,33.727409,73.047581,8,For Sale,8,4/5/2019,Elite Homes,Rahat Majid,103455
1228,7817242,3308,https://www.zameen.com/Property/f_7_f_7_2_newly_build_house_for_sale_in_f7_2_street_13_islamabad-7817242-3308-1.html,House,150000000,1500,F-7,Islamabad,Islamabad Capital,33.72334,73.051171,7,For Sale,7,7/4/2019,,,98010
1230,7823374,3447,https://www.zameen.com/Property/i_9_i_9_1_house_is_available_for_sale-7823374-3447-1.html,House,16500000,165,I-9,Islamabad,Islamabad Capital,33.653066,73.053846,4,For Sale,5,7/4/2019,,,1633.506
1232,7848859,1407,https://www.zameen.com/Property/islamabad_burma_town_luxurious_house_of_solid_quality_on_2_minutes_walking_distance_to_main_lehtarar_road-7848859-1407-1.html,House,4500000,45,Burma Town,Islamabad,Islamabad Capital,33.64217862,73.1292057,3,For Sale,2,7/4/2019,,,1089.004
1234,7850642,8370,https://www.zameen.com/Property/islamabad_emaar_canyon_views_beautiful_spanish_style_bungalow_is_available_for_sale_in_emaar_housing_society__dha_defence_phase_5-7850642-8370-1.html,House,40000000,400,Emaar Canyon Views,Islamabad,Islamabad Capital,33.518929,73.184692,6,For Sale,5,7/4/2019,,,5445
1236,7866499,424,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_a_beautiful_of_house_1_kanal-7866499-424-1.html,House,40000000,400,PWD Housing Scheme,Islamabad,Islamabad Capital,33.72898694,73.07190802,6,For Sale,6,7/4/2019,,,5445
1237,7867822,3461,https://www.zameen.com/Property/islamabad_lehtarar_road_corner_house_for_sale-7867822-3461-1.html,House,4700000,47,Lehtarar Road,Islamabad,Islamabad Capital,33.639311,73.148646,5,For Sale,5,7/4/2019,,,1361.255
1238,7868704,3307,https://www.zameen.com/Property/f_7_f_7_1_house_for_sale-7868704-3307-1.html,House,180000000,1800,F-7,Islamabad,Islamabad Capital,33.716273,73.056235,8,For Sale,7,7/4/2019,,,70785
1239,7875765,3293,https://www.zameen.com/Property/f_17_f_17_2_house_for_sale-7875765-3293-1.html,House,14000000,140,F-17,Islamabad,Islamabad Capital,33.632687,72.87651,6,For Sale,4,7/4/2019,,,1905.757
1240,7875902,3339,https://www.zameen.com/Property/g_13_g_13_3_brand_new_home_for_sale-7875902-3339-1.html,House,42000000,420,G-13,Islamabad,Islamabad Capital,33.656995,72.964962,10,For Sale,9,7/4/2019,,,2994.761
1241,7880800,340,https://www.zameen.com/Property/islamabad_bani_gala_house_for_sale_in_bani_gala_islamabad-7880800-340-1.html,House,22500000,225,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268,4,For Sale,3,7/4/2019,,,5172.769
1242,7884146,1407,https://www.zameen.com/Property/islamabad_burma_town_house_for_sale_in_burma_town_islamabad-7884146-1407-1.html,House,2300000,23,Burma Town,Islamabad,Islamabad Capital,33.643635,73.125243,3,For Sale,4,7/4/2019,,,816.753
1244,7892737,9585,https://www.zameen.com/Property/national_police_foundation_o_9_federation_housing_society_o_9_new_1_kanal_luxury_50x90_house_in_islamabad-7892737-9585-1.html,House,30000000,300,National Police Foundation O-9,Islamabad,Islamabad Capital,33.576472,73.13221,7,For Sale,4,7/4/2019,,,5445
1245,7892743,375,https://www.zameen.com/Property/islamabad_naval_anchorage_1000_sq_yards_double_storey_house_for_sale-7892743-375-1.html,House,67500000,675,Naval Anchorage,Islamabad,Islamabad Capital,33.573009,73.198629,8,For Sale,7,7/4/2019,,,10890
1246,7894450,1561,https://www.zameen.com/Property/islamabad_islamabad_highway_gulberg_view_villas__for_sale-7894450-1561-1.html,House,4800000,48,Islamabad Highway,Islamabad,Islamabad Capital,33.68272,73.073384,2,For Sale,2,7/4/2019,,,1089.004
1247,7895090,3147,https://www.zameen.com/Property/cbr_town_cbr_town_phase_1_cbr_town_house_for_sale-7895090-3147-1.html,House,50000000,500,CBR Town,Islamabad,Islamabad Capital,33.559385,73.141265,3,For Sale,4,7/3/2019,,,38659.642
1248,7896916,329,https://www.zameen.com/Property/islamabad_e_11_e_11_house_for_sale-7896916-329-1.html,House,38000000,380,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,7,For Sale,7,7/4/2019,,,2722.51
1252,7904212,1314,https://www.zameen.com/Property/islamabad_ghauri_town_brand_new_house_for_sale-7904212-1314-1.html,House,5200000,52,Ghauri Town,Islamabad,Islamabad Capital,33.619335,73.12531,4,For Sale,3,7/4/2019,,,816.753
1253,7907594,165,https://www.zameen.com/Property/islamabad_f_7_f7_demolish_able_house_for_sale-7907594-165-1.html,House,170000000,1700,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,4,For Sale,4,7/4/2019,,,119790
