,property_id,location_id,page_url,property_type,price,price_in_lac,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Total_Area
20209,12749134,173,https://www.zameen.com/Property/islamabad_i_10_house_for_sale_in_i_10_islamabad-12749134-173-1.html,House,20000000,200,I-10,Islamabad,Islamabad Capital,33.648922,73.038969,5,For Sale,4,11/6/2018,,,1633.506
20211,12750116,162,https://www.zameen.com/Property/islamabad_f_10_2_kanal_house_is_available_for_sale_on_nazimuddin_road-12750116-162-1.html,House,95000000,950,F-10,Islamabad,Islamabad Capital,33.691531,73.005431,9,For Sale,8,3/6/2019,A. D Associates,Qari Allah Dita,10890
20212,12750178,8399,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_house_is_available_for_sale-12750178-8399-1.html,House,15000000,150,DHA Defence,Islamabad,Islamabad Capital,33.536959,73.175418,4,For Sale,4,11/6/2018,,,1361.255
20213,12752340,3233,https://www.zameen.com/Property/e_11_e_11_2_e_11_2_1_kanal_brand_new_house_for_sale-12752340-3233-1.html,House,90000000,900,E-11,Islamabad,Islamabad Capital,33.699958,72.970119,6,For Sale,9,11/6/2018,ISB Property Marketing,Bilal,5445
20216,12753750,3233,https://www.zameen.com/Property/e_11_e_11_2_e_11_2_40x80_brand_new_house_for_sale-12753750-3233-1.html,House,55000000,550,E-11,Islamabad,Islamabad Capital,33.69996,72.970116,6,For Sale,9,11/6/2018,ISB Property Marketing,Bilal,38659.642
20217,12756085,9473,https://www.zameen.com/Property/islamabad_japan_road_brand_new_house_is_available_for_sale-12756085-9473-1.html,House,3500000,35,Japan Road,Islamabad,Islamabad Capital,33.568905,73.22962,4,For Sale,4,11/6/2018,,,816.753
20218,12757358,11972,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_sector_b1_house_is_available_for_sale-12757358-11972-1.html,House,15000000,150,Bahria Town,Islamabad,Islamabad Capital,33.698472,73.223812,3,For Sale,3,6/28/2019,Euro Estate,Arshad Tanoli,1361.255
20221,12761527,156,https://www.zameen.com/Property/islamabad_bhara_kahu_newly_built_home_for_sale-12761527-156-1.html,House,9000000,90,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,7,For Sale,5,11/6/2018,,,1361.255
20222,12761933,3112,https://www.zameen.com/Property/islamabad_arsalan_town_5_marla_double_storey_house_for_sale-12761933-3112-1.html,House,4500000,45,Arsalan Town,Islamabad,Islamabad Capital,33.642491,73.213663,6,For Sale,5,11/6/2018,,,1361.255
20223,12764282,11970,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_sector_a_brand_new_10_marla_house_is_available_for_sale_in_sector_a__bahria_enclave__islamabad-12764282-11970-1.html,House,23500000,235,Bahria Town,Islamabad,Islamabad Capital,33.695973,73.215615,5,For Sale,5,6/28/2019,Euro Estate,Arshad Tanoli,2722.51
20225,12766423,3331,https://www.zameen.com/Property/g_11_g_11_2_5_beds_house_for_sale-12766423-3331-1.html,House,23000000,230,G-11,Islamabad,Islamabad Capital,33.67164,72.99165,3,For Sale,5,3/6/2019,Islamabad Real Estate,Islamabad Real Estat,1361.255
20226,12767469,9020,https://www.zameen.com/Property/islamabad_khanna_pul_house_for_sale-12767469-9020-1.html,House,3500000,35,Khanna Pul,Islamabad,Islamabad Capital,33.629662,73.112268,2,For Sale,2,11/6/2018,,,816.753
20229,12770455,162,https://www.zameen.com/Property/islamabad_f_10_500_sq_yd_beautiful_house_prime_location_f_10_for_sale-12770455-162-1.html,House,67500000,675,F-10,Islamabad,Islamabad Capital,33.691531,73.005431,6,For Sale,5,11/6/2018,Business Communicator,Waseem Kazmi,5445
20520,12771415,338,https://www.zameen.com/Property/islamabad_soan_garden_block_d_house__3_in_street_12-12771415-338-1.html,House,17000000,170,Soan Garden,Islamabad,Islamabad Capital,33.564427,73.157101,6,For Sale,8,11/6/2018,,,4900.518
20522,12774891,338,https://www.zameen.com/Property/islamabad_soan_garden_house_for_sale_in_soan_gardan_islamabad-12774891-338-1.html,House,12100000,121,Soan Garden,Islamabad,Islamabad Capital,33.564426,73.157104,4,For Sale,4,11/6/2018,,,2178.008
20523,12776166,343,https://www.zameen.com/Property/islamabad_e_7_house_for_sale-12776166-343-1.html,House,270000000,2700,E-7,Islamabad,Islamabad Capital,33.727409,73.047581,4,For Sale,4,11/6/2018,,,130680
20525,12776728,156,https://www.zameen.com/Property/islamabad_bhara_kahu_house_for_sale_in_bhara_kahu-12776728-156-1.html,House,20000000,200,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,4,For Sale,6,11/6/2018,,,5445
20527,12779254,3394,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_5_marla_3_storey_house-12779254-3394-1.html,House,13000000,130,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,6,For Sale,6,5/5/2019,Dreams World,Chaudhry Imran Khan,1361.255
20528,12779300,3486,https://www.zameen.com/Property/islamabad_partal_town_3_5_marla_house_for_sale-12779300-3486-1.html,House,2900000,29,Partal Town,Islamabad,Islamabad Capital,33.640991,73.20405,2,For Sale,3,11/6/2018,,,9528.785
20529,12779345,3421,https://www.zameen.com/Property/i_10_i_10_2_house_for_sale-12779345-3421-1.html,House,21000000,210,I-10,Islamabad,Islamabad Capital,33.649779,73.029385,4,For Sale,4,11/6/2018,,,17968.566
